SITE,Bird_ID,DATE,Time_ID,T_intervals,T_minutes,X_Estimate,Y_Estimate
TBS,17,20-Apr-03,4,,0,372109.4557,71984.6531
TBS,17,20-Apr-03,7,3,45,372182.0821,72271.0404
TBS,17,20-Apr-03,8,1,15,372227.2457,71339.6035
TBS,17,20-Apr-03,9,1,15,372502.5559,71241.2341
TBS,17,23-Apr-03,1,,0,372004.9253,70294.4591
TBS,17,23-Apr-03,2,1,15,372044.7423,70273.0043
TBS,17,5-May-03,1,,0,372463.0714,70502.6195
TBS,17,5-May-03,3,2,30,372469.0905,70501.1188
TBS,17,5-May-03,4,1,15,372462.5872,70496.7258
TBS,17,5-May-03,5,1,15,372470.7472,70500.7057
TBS,19,18-Apr-03,3,,0,372456.4724,70120.5138
TBS,19,20-Apr-03,1,,0,372574.82,70777.6627
TBS,19,20-Apr-03,2,1,15,372575.2445,70790.5213
TBS,19,20-Apr-03,3,1,15,372617.7616,70587.9043
TBS,19,20-Apr-03,4,1,15,372497.8209,70510.2758
TBS,19,20-Apr-03,5,1,15,372465.0929,70777.5209
TBS,19,20-Apr-03,6,1,15,372496.4897,70725.2679
TBS,19,20-Apr-03,7,1,15,372397.4905,70928.7497
TBS,19,20-Apr-03,8,1,15,372501.5964,70970.4968
TBS,19,23-Apr-03,1,,0,372567.4545,70148.3473
TBS,19,5-May-03,3,,0,372554.9581,70153.1541
TBS,19,5-May-03,4,1,15,372644.4688,70002.4849
TBS,19,5-May-03,5,1,15,372977.4829,69715.6168
TBS,19,5-May-03,9,4,60,373381.8676,67793.0914
TBS,19,8-May-03,1,,0,372452.1536,70005.5834
TBS,19,8-May-03,2,1,15,372370.5497,70198.9051
TBS,19,8-May-03,3,1,15,372327.4625,70270.6143
TBS,19,8-May-03,4,1,15,372513.1088,69850.2176
TBS,19,8-May-03,5,1,15,372426.7498,70219.5646
TBS,19,8-May-03,6,1,15,372475.5139,69235.993
TBS,19,8-May-03,8,2,30,372555.309,69691.7792
TBS,19,9-May-03,1,,0,372473.6264,70237.3756
TBS,19,9-May-03,2,1,15,372547.0068,70203.3571
TBS,19,15-May-03,1,,0,372547.5956,69746.755
TBS,19,15-May-03,2,1,15,372517.3521,69954.585
TBS,19,15-May-03,3,1,15,372366.1315,67255.3429
TBS,19,15-May-03,4,1,15,372176.227,68850.5596
TBS,19,15-May-03,5,1,15,372538.7509,69597.115
TBS,19,15-May-03,6,1,15,372579.8127,70044.6668
TBS,19,15-May-03,7,1,15,372592.0847,70105.6047
TBS,19,15-May-03,8,1,15,372580.5457,69879.8769
TBS,19,15-May-03,9,1,15,372559.9889,70032.7033
TBS,19,15-May-03,10,1,15,372788,69350.0616
TBS,19,15-May-03,11,1,15,372708.1941,69720.0709
TBS,19,15-May-03,12,1,15,372513.5905,69930.9289
TBS,19,15-May-03,13,1,15,372536.6451,69852.8784
TBS,19,15-May-03,14,1,15,372543.6421,69967.5228
TBS,19,15-May-03,15,1,15,372252.7164,68972.6557
TBS,19,15-May-03,16,1,15,372601.8014,70132.3343
TBS,19,15-May-03,17,1,15,372289.4365,70078.4969
TBS,19,15-May-03,18,1,15,372083.6483,69822.851
TBS,19,15-May-03,19,1,15,372156.2891,69864.7154
TBS,19,15-May-03,20,1,15,372290.2918,70108.3982
TBS,19,15-May-03,21,1,15,372498.8025,70506.9192
TBS,19,15-May-03,22,1,15,372500.4874,69794.2533
TBS,19,15-May-03,23,1,15,372481.0562,69553.5104
TBS,19,15-May-03,24,1,15,372551.3841,69634.3162
TBS,19,15-May-03,25,1,15,372386.8372,69532.9245
TBS,19,15-May-03,26,1,15,372423.8126,69661.5608
TBS,19,16-May-03,1,,0,372784.4689,69878.2839
TBS,19,16-May-03,2,1,15,372867.1397,69555.7572
TBS,19,16-May-03,4,2,30,372798.5876,69838.3748
TBS,19,16-May-03,5,1,15,372743.1397,69889.0201
TBS,19,16-May-03,6,1,15,372863.0792,69730.6091
TBS,19,16-May-03,7,1,15,372886.7851,69136.8489
TBS,19,16-May-03,8,1,15,372579.2565,69956.8873
TBS,19,18-May-03,2,,0,372497.82,68380.202
TBS,19,18-May-03,3,1,15,372612.8731,69198.8472
TBS,19,18-May-03,4,1,15,372678.3687,70143.7304
TBS,19,18-May-03,5,1,15,372674.8782,70096.787
TBS,19,18-May-03,6,1,15,372743.4145,69935.3256
TBS,19,18-May-03,7,1,15,372710.9749,69958.6225
YRS,20,29-Mar-04,1,,0,344141.6893,74968.1301
YRS,20,29-Mar-04,2,1,15,344134.9748,75182.5612
YRS,20,29-Mar-04,3,1,15,344076.8048,75016.2638
YRS,20,29-Mar-04,4,1,15,344117.137,75220.8485
YRS,20,9-May-04,1,,0,344244.9673,75212.8113
YRS,20,9-May-04,2,1,15,344236.3115,75333.9912
